"Figure 1: Average weekly earnings for total pay were £664 and for regular pay were £617 in July 2023, showing a steady increase over time (except for early on in the coronavirus pandemic)",""
"Average weekly earnings in Great Britain, seasonally adjusted, January 2000 to July 2023",""
"",""
"Notes",""
"Unit","£"
"",""
"Period","Total pay","Regular pay"
"Mar 2017","501","470"
"Apr 2017","502","471"
"May 2017","503","473"
"Jun 2017","508","473"
"Jul 2017","504","474"
"Aug 2017","507","475"
"Sep 2017","509","476"
"Oct 2017","509","476"
"Nov 2017","510","478"
"Dec 2017","512","479"
"Jan 2018","510","480"
"Feb 2018","513","482"
"Mar 2018","513","484"
"Apr 2018","515","483"
"May 2018","516","486"
"Jun 2018","519","487"
"Jul 2018","521","489"
"Aug 2018","523","491"
"Sep 2018","523","491"
"Oct 2018","530","493"
"Nov 2018","526","494"
"Dec 2018","528","495"
"Jan 2019","530","498"
"Feb 2019","531","498"
"Mar 2019","525","500"
"Apr 2019","534","503"
"May 2019","537","504"
"Jun 2019","540","506"
"Jul 2019","542","507"
"Aug 2019","541","508"
"Sep 2019","544","509"
"Oct 2019","543","509"
"Nov 2019","542","510"
"Dec 2019","542","511"
"Jan 2020","546","512"
"Feb 2020","546","512"
"Mar 2020","529","512"
"Apr 2020","529","502"
"May 2020","532","503"
"Jun 2020","532","506"
"Jul 2020","541","512"
"Aug 2020","552","518"
"Sep 2020","558","523"
"Oct 2020","563","527"
"Nov 2020","568","531"
"Dec 2020","570","533"
"Jan 2021","570","534"
"Feb 2021","567","535"
"Mar 2021","552","537"
"Apr 2021","576","540"
"May 2021","581","540"
"Jun 2021","577","541"
"Jul 2021","581","543"
"Aug 2021","584","544"
"Sep 2021","586","545"
"Oct 2021","588","547"
"Nov 2021","587","549"
"Dec 2021","603","553"
"Jan 2022","599","557"
"Feb 2022","600","558"
"Mar 2022","608","560"
"Apr 2022","604","562"
"May 2022","606","567"
"Jun 2022","613","569"
"Jul 2022","615","572"
"Aug 2022","619","575"
"Sep 2022","622","578"
"Oct 2022","626","583"
"Nov 2022","629","587"
"Dec 2022","632","589"
"Jan 2023","635","592"
"Feb 2023","640","597"
"Mar 2023","644","600"
"Apr 2023","651","605"
"May 2023","655","611"
"Jun 2023","670","614"
"Jul 2023","664","617"
